#####################################
##### THERE ARE 2 TARGETS ###########
RLS range: 1000
RLS coordinates: 0:0
###########STARTING PELENG###########
Time: 51, Target #0, Type: Aircraft, Distance: 87.8579, Angle: 225, Coordinates: -62.1249:-62.1249
Time: 52, Target #0, Type: Aircraft, Distance: 89.8579, Angle: 225, Coordinates: -63.5391:-63.5391
Time: 53, Target #0, Type: Aircraft, Distance: 91.8579, Angle: 225, Coordinates: -64.9533:-64.9533
Time: 54, Target #0, Type: Aircraft, Distance: 93.8579, Angle: 225, Coordinates: -66.3675:-66.3675
Time: 55, Target #0, Type: Aircraft, Distance: 95.8579, Angle: 225, Coordinates: -67.7817:-67.7817
Time: 56, Target #0, Type: Aircraft, Distance: 97.8579, Angle: 225, Coordinates: -69.196:-69.196
Time: 57, Target #0, Type: Aircraft, Distance: 99.8579, Angle: 225, Coordinates: -70.6102:-70.6102
Time: 58, Target #0, Type: Aircraft, Distance: 101.858, Angle: 225, Coordinates: -72.0244:-72.0244
Time: 59, Target #0, Type: Aircraft, Distance: 103.858, Angle: 225, Coordinates: -73.4386:-73.4386
Time: 60, Target #0, Type: Aircraft, Distance: 105.858, Angle: 225, Coordinates: -74.8528:-74.8528
Time: 61, Target #0, Type: Aircraft, Distance: 107.858, Angle: 225, Coordinates: -76.267:-76.267
Time: 62, Target #0, Type: Aircraft, Distance: 109.858, Angle: 225, Coordinates: -77.6812:-77.6812
Time: 63, Target #0, Type: Aircraft, Distance: 111.858, Angle: 225, Coordinates: -79.0955:-79.0955
Time: 64, Target #0, Type: Aircraft, Distance: 113.858, Angle: 225, Coordinates: -80.5097:-80.5097
Time: 65, Target #0, Type: Aircraft, Distance: 115.858, Angle: 225, Coordinates: -81.9239:-81.9239
Time: 66, Target #0, Type: Aircraft, Distance: 117.858, Angle: 225, Coordinates: -83.3381:-83.3381
Time: 67, Target #0, Type: Aircraft, Distance: 119.858, Angle: 225, Coordinates: -84.7523:-84.7523
Time: 68, Target #0, Type: Aircraft, Distance: 121.858, Angle: 225, Coordinates: -86.1665:-86.1665
Time: 69, Target #0, Type: Aircraft, Distance: 123.858, Angle: 225, Coordinates: -87.5807:-87.5807
Time: 70, Target #0, Type: Aircraft, Distance: 125.858, Angle: 225, Coordinates: -88.9949:-88.9949
Time: 71, Target #0, Type: Aircraft, Distance: 127.858, Angle: 225, Coordinates: -90.4092:-90.4092
Time: 72, Target #0, Type: Aircraft, Distance: 129.858, Angle: 225, Coordinates: -91.8234:-91.8234
Time: 73, Target #0, Type: Aircraft, Distance: 131.858, Angle: 225, Coordinates: -93.2376:-93.2376
Time: 74, Target #0, Type: Aircraft, Distance: 133.858, Angle: 225, Coordinates: -94.6518:-94.6518
Time: 75, Target #0, Type: Aircraft, Distance: 135.858, Angle: 225, Coordinates: -96.066:-96.066
Time: 76, Target #0, Type: Aircraft, Distance: 137.858, Angle: 225, Coordinates: -97.4802:-97.4802
Time: 77, Target #0, Type: Aircraft, Distance: 139.858, Angle: 225, Coordinates: -98.8944:-98.8944
Time: 78, Target #0, Type: Aircraft, Distance: 141.858, Angle: 225, Coordinates: -100.309:-100.309
Time: 79, Target #0, Type: Aircraft, Distance: 143.858, Angle: 225, Coordinates: -101.723:-101.723
Time: 80, Target #0, Type: Aircraft, Distance: 145.858, Angle: 225, Coordinates: -103.137:-103.137
Time: 81, Target #0, Type: Aircraft, Distance: 147.858, Angle: 225, Coordinates: -104.551:-104.551
Time: 82, Target #0, Type: Aircraft, Distance: 149.858, Angle: 225, Coordinates: -105.966:-105.966
Time: 83, Target #0, Type: Aircraft, Distance: 151.858, Angle: 225, Coordinates: -107.38:-107.38
Time: 84, Target #0, Type: Aircraft, Distance: 153.858, Angle: 225, Coordinates: -108.794:-108.794
